,MedHouseVal
16511,1.824
7186,1.458
5569,1.841
15923,2.598
18007,2.83
2375,0.581
11410,1.588
18566,1.646
4151,1.758
9588,1.276
13197,1.284
16117,2.711
442,2.455
2897,0.575
5632,1.868
18625,3.734
15313,1.875
20023,0.762
7126,2.768
9787,0.875
10423,2.942
12583,0.783
656,1.668
15384,1.688
5502,3.517
12429,3.667
9645,1.042
9272,2.909
1612,0.734
13083,1.18
8288,2.711
8578,5.00001
9675,2.427
10617,5.00001
6993,1.812
4617,2.823
6874,1.768
2547,0.705
12432,1.0
10760,5.00001
12412,1.041
12063,1.443
3982,2.596
12159,1.612
590,2.535
10496,1.863
8252,1.475
19046,1.665
20434,2.043
3352,0.641
20593,0.798
11302,1.865
6512,1.52
11323,1.875
19107,0.75
13185,1.842
14819,0.93
226,2.297
13438,1.164
2158,0.722
17227,3.53
15814,3.912
43,1.888
20447,3.75
18424,2.445
3108,0.845
5533,3.659
11115,2.373
14695,1.332
10110,1.37
1315,1.647
14127,0.95
15048,3.034
15548,1.225
11475,3.319
14225,1.438
9194,2.143
10920,1.774
16867,2.651
20567,1.65
4025,2.438
10077,0.958
19192,1.631
11329,1.762
2861,1.43
20251,2.188
1747,1.078
12932,2.129
11189,1.872
2271,0.965
17593,3.447
13063,1.094
2063,0.926
14814,4.097
11382,1.373
17210,2.55
12636,0.68
17217,3.206
6303,1.719
18997,1.517
15187,4.0
2167,0.803
18060,5.00001
16761,2.664
8722,3.43
11449,2.819
18185,2.736
8931,3.405
9916,1.836
20195,2.034
11224,2.143
121,3.35
13572,0.819
20380,5.00001
2699,0.675
17011,3.109
12769,0.649
972,3.898
9986,1.958
15869,2.333
5360,5.00001
9036,1.2
10626,3.798
5424,3.408
14716,3.306
3476,3.74
1532,2.71
7739,2.424
19348,2.446
5860,2.313
7302,1.573
19059,2.518
11020,4.771
12207,3.921
18088,4.2
14315,0.925
9977,2.566
13617,0.838
15626,5.00001
2878,0.48
4144,1.706
15656,5.00001
11712,1.458
12908,2.13
9869,1.128
14608,2.04
3274,0.935
9403,4.131
18333,4.025
9955,2.167
8207,1.64
7044,1.719
7889,3.138
14397,2.058
16922,2.879
17860,2.268
14084,2.816
19181,2.598
5603,1.68
14464,4.222
11661,2.009
3752,2.385
7173,1.192
18026,2.432
7114,2.187
15372,1.712
17252,2.375
3754,1.902
20465,1.88
3271,1.023
13206,1.604
19610,1.281
9461,1.573
8603,3.455
14142,1.177
12258,0.953
8609,2.974
575,1.0
828,2.065
18584,1.784
6288,3.304
3732,2.622
12700,1.055
20610,0.455
5319,5.00001
2942,0.489
14801,1.445
11794,1.244
17050,5.00001
4958,1.232
14990,1.269
10283,2.637
13445,1.135
14370,5.00001
14296,2.211
6593,5.00001
1360,0.985
5908,1.555
2751,0.64
13166,2.212
9278,2.016
11799,1.914
6943,1.578
2725,0.536
18376,4.592
5430,3.019
10832,2.201
16231,1.415
19125,1.626
8922,4.5
16457,1.548
19472,1.212
20039,0.514
6207,2.747
3960,1.823
9418,5.00001
9960,3.988
19900,0.646
4318,3.216
14898,1.344
1085,0.779
1677,1.477
17331,3.902
9949,2.425
6420,2.352
2464,0.768
13936,1.286
20272,5.00001
406,4.175
12414,0.682
19387,0.889
18247,3.525
20483,2.177
19691,0.659
4078,5.00001
7517,1.131
15383,2.915
7346,1.5
13668,0.73
9165,2.183
5272,5.00001
9388,4.583
312,0.893
8766,5.00001
9218,0.523
20548,0.694
4738,3.336
18416,2.826
1384,2.067
5487,5.00001
10748,3.922
17394,1.133
16510,1.39
9460,1.407
6301,1.333
637,1.417
20200,2.146
11266,1.914
8587,3.793
6347,1.125
10311,4.102
16072,3.212
12322,0.5
20249,3.018
11952,1.299
16171,5.00001
1036,1.298
19846,0.928
17736,2.32
7969,1.521
11627,3.988
19028,1.757
8121,1.426
1174,0.652
20488,2.23
9417,5.00001
14014,2.847
2750,0.944
17338,3.287
1448,1.61
18455,2.896
2331,0.525
4536,1.463
16794,2.807
8559,3.58
14838,0.936
17887,2.641
12131,1.17
15245,3.878
4476,1.475
12772,0.731
9996,1.559
18051,4.425
18421,2.362
12694,3.278
8984,2.75
4508,1.243
7597,0.983
14395,2.482
20212,2.997
7299,1.542
19903,0.672
16203,0.527
17494,5.00001
7639,3.294
7363,1.662
1810,1.224
8448,2.896
13574,0.976
5645,2.031
453,3.325
8623,4.561
17754,1.953
16364,1.319
3294,0.759
6838,2.205
20073,1.048
10728,5.00001
96,1.838
18345,3.786
15026,1.642
12740,1.341
14170,1.596
4995,0.965
8945,4.13
8478,1.58
15756,3.357
15650,2.25
7119,2.024
18297,5.00001
14109,1.021
8289,4.325
19996,1.069
9516,1.096
5355,5.00001
6745,2.641
3956,3.361
13016,2.745
7901,2.751
11374,2.307
12968,1.178
16176,2.25
3289,0.724
9800,3.691
13237,3.454
511,5.00001
2188,0.578
19234,3.13
18570,2.383
15557,1.463
640,1.574
16818,2.62
7106,2.01
12135,1.215
9315,4.392
13134,1.003
13387,1.326
16346,1.335
4671,3.5
20186,0.75
6713,4.778
6258,1.586
18746,1.192
5299,3.5
12151,1.364
4379,1.965
17806,2.691
11339,1.741
513,4.661
10543,1.625
6461,2.571
16695,2.099
6596,1.275
7515,1.244
20188,2.348
12602,0.525
13399,1.419
8526,2.308
6585,5.00001
8431,2.125
12090,1.279
13265,1.06
15459,2.449
6173,1.871
4979,1.286
11768,1.392
1684,1.95
4898,1.275
17356,1.957
3315,0.973
6265,1.635
4212,2.707
18794,1.232
7586,1.008
11361,1.893
5369,5.00001
7634,2.379
2456,1.1
12864,1.127
965,3.372
13721,1.125
3875,2.037
17202,3.575
20278,2.185
16311,1.292
12622,1.844
15979,5.0
1917,1.132
1271,2.631
6519,1.563
5030,1.01
7767,1.644
6046,1.297
19088,2.028
11773,0.838
1947,1.674
17146,5.00001
14541,1.829
2202,0.893
2430,0.552
1328,1.178
17342,1.579
7317,1.727
2383,1.076
1392,2.282
3781,4.143
10352,2.574
19835,0.591
17468,3.312
8175,2.57
13356,1.754
3785,3.194
17198,2.638
5148,0.901
19382,0.964
12483,0.775
9118,1.676
16910,5.00001
17896,2.356
11612,2.451
13114,1.481
15534,1.905
18882,1.099
1243,0.592
16925,2.583
7424,1.455
1190,0.962
12111,0.854
9620,0.894
14297,1.391
7292,1.288
12066,3.393
4596,1.589
14367,2.977
8456,2.44
8317,4.5
3460,1.825
6687,2.604
1193,0.738
10183,1.9
17184,5.0
10865,2.45
5542,4.321
1084,0.55
10493,2.885
16524,1.308
7527,1.038
1699,2.01
490,4.462
2654,1.067
4496,1.55
18578,1.843
3886,1.998
18539,2.405
2766,0.628
5741,3.729
8699,2.796
18016,2.551
20630,1.12
2051,0.916
6063,2.67
8325,1.086
13397,1.164
7864,1.708
2495,0.56
12497,2.338
12445,0.717
4407,1.361
4756,1.671
18691,2.291
6196,1.889
4913,1.133
19685,0.652
16883,4.592
11789,0.92
15981,3.742
15932,2.387
808,2.212
5172,0.862
13626,0.629
941,2.08
342,0.82
20045,0.431
19341,1.6
10545,1.583
19616,1.125
6235,1.917
7853,1.908
13781,1.035
10169,5.00001
4127,1.898
1883,1.185
3230,0.463
13881,0.933
13086,1.341
13747,1.62
11781,1.411
2242,0.693
11431,3.821
10334,3.14
14280,0.875
12109,1.606
12185,1.238
12879,1.095
13702,0.813
11314,2.228
11618,2.774
1796,0.915
4189,1.705
5103,1.2
12998,2.761
15490,0.92
2633,0.864
6650,1.417
6922,1.888
18267,5.00001
6920,3.75
2621,1.656
12121,0.869
4044,5.00001
11624,1.596
256,1.0
9181,2.781
10676,4.664
13986,0.914
9570,0.689
10973,2.047
9395,4.176
3152,0.949
10866,2.258
13840,0.854
19331,1.171
9632,0.975
16307,0.871
9701,1.304
4209,1.7
14875,1.398
9666,0.479
8622,3.376
8780,2.799
184,1.119
1362,1.659
19168,1.406
737,1.816
3128,0.819
15128,1.471
8364,1.594
6236,1.832
12597,0.964
14318,0.894
13843,0.928
11419,2.904
18493,2.286
4094,3.804
9802,3.64
10611,2.659
18549,1.125
20092,1.158
4125,2.042
15244,3.935
2260,0.588
15093,1.357
1809,1.406
14953,2.707
65,0.784
6626,1.544
12284,0.818
11140,1.837
8248,1.75
1689,1.848
259,1.02
842,2.22
2968,1.31
5870,2.32
4956,1.232
4493,1.375
4884,1.264
4411,2.417
11630,2.444
4875,3.5
12532,0.938
17284,3.462
8359,1.571
1330,1.5
14863,1.238
19723,1.104
6477,2.068
20493,2.292
158,3.487
10091,1.94
19661,0.973
1843,2.349
10140,1.25
10745,5.00001
17196,3.273
1048,1.167
8138,2.225
17977,3.149
12294,0.956
2490,0.766
17451,2.072
2702,0.635
17717,5.00001
16773,2.575
8390,1.531
7408,1.588
17207,3.574
3126,1.375
16770,2.391
18086,5.00001
9108,2.922
9891,1.402
5719,2.413
6478,1.83
4960,1.16
19487,0.905
18799,0.52
3822,2.104
9695,1.276
10603,1.996
2635,0.851
18458,2.724
9066,1.181
2852,0.856
9951,2.676
11659,1.923
19572,0.995
2120,0.679
1498,3.302
4783,1.375
4632,3.25
10641,3.333
8349,1.375
13609,0.964
18813,0.887
16839,3.258
362,3.298
648,3.712
1776,1.439
18723,1.516
3016,1.283
7653,1.869
1890,1.261
17480,1.875
17856,2.544
12707,1.364
8441,2.256
10523,2.621
15164,1.601
180,1.693
3106,1.09
17365,1.361
20622,0.67
3232,0.941
8253,1.813
5126,1.04
20325,5.00001
4427,1.333
17757,1.928
1909,0.976
9922,1.644
10823,2.254
17696,1.152
17347,3.412
4062,4.784
19336,2.508
7803,1.746
6005,1.136
9086,1.268
20049,0.475
830,2.17
2030,0.585
13707,0.909
17875,2.353
16719,1.669
15838,3.475
6343,1.125
18770,0.604
19449,1.104
1031,0.689
18354,5.00001
1527,2.88
3659,1.813
7724,2.966
19606,1.292
20416,3.237
16301,2.258
6292,1.921
6284,1.645
16844,3.423
14558,3.225
20443,5.00001
77,1.083
145,2.964
7518,1.095
3347,0.808
13510,0.703
11524,2.261
18937,1.613
12078,1.11
499,1.508
5587,2.333
6981,3.726
7870,1.655
13991,0.798
16396,1.25
11440,2.698
15483,1.589
19347,2.017
8956,3.041
1968,1.517
10419,5.00001
16291,0.672
4541,1.408
7702,2.66
2644,0.925
13028,1.121
19334,1.951
5796,2.54
143,2.167
17149,5.00001
1608,1.865
9536,0.807
13259,1.63
12288,0.898
19716,1.0
17409,0.832
12537,1.372
6014,1.163
596,2.593
18947,1.617
15639,5.00001
13524,0.868
10158,3.815
14197,0.996
3024,0.458
12489,0.879
16842,3.021
3475,3.563
1993,0.592
9610,0.576
7274,1.154
17126,1.856
2155,0.591
15663,5.00001
11796,1.264
13922,0.5
3901,2.625
14143,1.101
15436,1.988
2060,0.895
6574,1.76
19711,1.148
401,2.322
7115,2.214
5095,0.998
20559,1.672
14189,0.862
14493,2.674
9451,1.646
1778,1.052
10889,1.625
2209,0.68
9462,1.503
19802,0.14999
14571,1.848
19169,1.681
2205,1.193
13084,1.295
5221,1.076
6034,1.35
194,1.25
2386,0.924
18261,4.65
7863,2.065
6753,4.148
18175,3.236
6416,2.228
1263,1.628
1467,2.604
3312,1.142
1782,1.058
12021,1.246
7209,1.408
15404,1.96
16965,3.871
6085,2.2
11844,1.025
12834,0.949
14494,2.953
17729,2.413
2349,1.631
2479,0.551
606,1.81
12205,1.475
14077,1.205
117,2.341
8052,2.191
4008,4.099
15908,2.799
2370,0.729
10285,2.996
5181,0.996
10614,3.025
12552,1.25
1718,0.851
685,1.571
8322,1.008
2744,0.644
16394,2.207
2779,0.25
15401,1.75
12893,1.985
3123,0.865
761,1.619
5018,1.516
16622,2.269
9747,2.017
14918,1.713
4049,5.00001
12343,1.125
18869,1.119
19469,1.127
5983,2.395
19931,1.13
13453,1.055
16359,1.053
509,5.00001
14815,3.688
19049,1.227
9268,3.07
20398,2.517
4455,1.538
6339,1.845
6148,1.439
10194,1.821
19461,1.994
10197,1.856
2267,0.647
4208,1.413
18710,0.844
12143,1.221
7429,1.534
5760,2.926
18409,2.791
3629,1.867
19342,1.833
16141,3.607
10640,3.4
18603,2.739
19241,2.542
6729,5.00001
12001,2.294
10033,1.052
11535,0.713
5327,2.833
8494,1.814
13809,0.72
15720,4.944
5132,0.982
6785,4.773
12374,2.393
9901,1.583
2871,0.574
9622,0.596
12991,1.444
8545,2.307
15257,1.476
18939,1.95
5144,0.942
7806,1.644
19933,0.934
6043,1.107
3216,0.591
12451,0.734
7443,1.518
6100,1.688
6673,1.841
14526,1.634
19596,1.231
20136,2.017
12580,0.878
7308,1.547
17702,1.653
11534,0.467
11216,2.051
9931,1.397
3411,1.662
5214,0.998
15102,1.546
3829,2.335
9751,2.831
7395,0.981
14003,0.777
20199,2.289
3421,1.443
13914,0.668
5070,1.117
3146,1.368
9060,1.265
26,0.938
1074,1.114
17147,5.00001
4504,1.172
3572,4.835
5738,4.062
5807,1.75
16420,1.625
17908,2.583
3136,0.644
6274,1.579
2109,0.542
18897,1.098
7296,1.69
15681,5.00001
6283,1.631
7531,0.891
12024,0.858
17916,2.618
13488,0.886
937,1.86
4354,5.00001
15323,2.161
2359,1.547
19642,1.813
11259,1.806
13844,0.971
3424,1.478
13437,1.138
11125,1.754
2713,0.963
15619,5.00001
10312,4.153
12387,1.523
19584,1.542
20452,1.968
17141,5.00001
8517,2.101
12486,1.417
6270,1.589
5290,5.00001
1836,2.23
7016,1.633
1181,0.418
14536,1.711
2325,1.125
12371,3.417
5011,1.875
18003,2.735
16694,1.781
5595,1.28
12817,1.297
10427,3.873
6440,2.336
14968,1.781
4453,1.425
20152,4.347
5695,2.962
16145,4.469
12249,0.959
20347,2.279
17679,1.763
8072,2.682
15099,1.0
7343,1.438
13068,0.913
12843,0.87
15953,2.6
9950,2.875
1941,3.006
7906,2.681
3256,0.713
16944,3.697
6361,1.445
6956,1.726
7603,1.11
14258,0.833
19131,3.177
7271,1.65
18049,3.407
2772,0.544
12275,1.121
6329,3.304
1539,3.127
11467,2.688
19156,1.918
8973,3.31
8350,1.91
2151,0.707
20285,1.856
246,1.113
18248,3.303
19662,0.857
504,1.479
15411,1.646
5083,1.0
2027,0.606
6854,2.427
18373,3.612
5916,1.625
7318,1.585
1594,4.553
16182,1.125
13862,1.197
12226,1.438
10691,1.625
18103,3.459
9580,0.958
17481,3.34
18672,2.523
16363,1.084
1352,0.953
3813,1.899
15552,1.455
8513,2.315
2024,0.453
18742,0.679
10579,2.62
7315,1.784
2525,0.719
4802,1.259
1240,0.775
18911,1.316
5999,1.351
15485,1.707
4927,1.082
10444,3.465
19717,0.58
17465,2.688
413,2.92
7360,1.42
8397,1.639
18547,2.5
3495,2.206
12272,1.959
14219,1.538
12509,1.738
17222,3.76
15721,3.553
10965,1.95
4628,4.125
13372,1.917
10789,2.364
3382,2.301
16888,3.5
4678,5.00001
16299,0.66
18957,1.054
10968,3.203
2681,0.694
2503,0.63
6582,4.439
16012,5.00001
9171,1.55
14984,1.695
17586,2.342
16900,3.599
12075,1.61
2314,1.652
5340,3.363
6245,1.576
8273,2.325
3639,1.838
20080,1.86
15421,1.756
1820,3.216
14702,1.708
12028,1.271
9804,4.528
15207,2.816
5024,1.152
11985,1.424
11876,1.242
13405,1.088
6644,1.486
5031,1.033
1864,1.167
13171,2.025
7615,1.177
2864,0.676
11734,1.43
2573,0.961
2168,0.802
986,4.0
16697,1.6
1474,1.609
8337,1.538
10661,3.839
17668,1.642
4196,1.871
16549,1.493
5898,2.05
16952,4.585
8964,3.149
10308,3.549
19727,1.063
12436,0.659
12747,1.411
874,2.202
12149,0.924
9508,1.152
14434,2.417
9283,2.856
5791,2.013
1508,2.347
895,2.36
5285,3.375
20535,1.485
1413,2.657
11894,1.225
6275,1.576
3226,0.504
10002,2.064
1882,1.036
4709,4.409
3861,3.285
15139,1.595
10145,2.016
5104,1.31
16862,2.285
8767,4.875
16148,4.047
19745,1.043
17156,5.00001
19292,2.046
546,2.258
14661,1.083
11149,1.863
8235,1.625
19170,3.247
8532,2.29
15118,1.294
12212,1.875
6428,1.392
3738,2.042
3736,3.127
3392,2.199
5198,0.969
4502,1.417
11291,1.992
7575,1.194
19945,0.6
4637,1.875
11276,1.802
9945,2.408
12949,2.421
84,1.188
1086,0.988
16614,3.208
10367,2.348
7757,1.838
3499,1.959
15482,1.746
19520,0.996
10557,2.868
1469,2.674
6978,2.385
15478,1.585
19659,1.275
5673,4.098
1927,2.133
14764,1.208
4640,2.333
3085,1.014
15644,2.25
18528,2.239
46,1.425
12015,1.356
18884,0.972
8885,5.00001
316,0.7
6160,1.767
9114,2.224
11463,3.5
2972,1.185
4501,1.44
12993,1.345
13858,1.745
20032,0.776
15518,1.568
19258,1.5
7736,1.958
18951,0.99
882,1.625
339,0.807
18223,2.889
5090,1.026
10192,1.975
5729,3.667
9292,2.527
1219,1.331
3442,1.342
14454,4.1
7117,2.167
10650,3.782
9907,1.532
5179,0.967
14027,1.75
6446,5.00001
3766,2.929
14436,1.875
2880,0.575
11547,2.482
10372,3.513
2122,0.883
11926,1.144
4250,3.645
14699,1.653
11474,2.167
414,2.709
11133,1.969
17720,3.782
2795,0.806
18330,5.00001
20172,2.25
13600,1.166
3215,0.517
19102,1.965
1979,1.625
17525,1.667
16466,1.633
20139,1.84
2908,0.827
17416,1.175
12222,1.897
17500,2.762
16179,0.525
7445,1.786
5437,4.466
10026,1.138
9882,1.683
4944,1.438
4610,2.906
13562,1.222
19430,1.501
10129,1.903
18825,0.586
6116,1.382
20246,2.127
20227,1.927
12219,4.29
12247,1.376
5026,1.225
9569,1.463
6183,1.854
17264,2.318
5721,4.22
6598,1.357
228,2.469
2805,0.77
264,1.028
12303,1.434
7701,2.519
5452,3.456
1592,2.944
837,2.353
18276,5.00001
9734,2.225
8860,5.00001
10623,1.602
66,0.844
3753,2.224
8985,5.00001
8291,5.00001
3038,0.828
5446,3.243
15703,5.00001
8265,1.938
14858,1.47
16559,1.194
11592,2.594
10331,2.664
7192,1.438
10632,2.339
14811,4.324
19912,0.888
17676,1.926
2983,0.685
9602,0.67
13275,1.228
12250,1.079
5548,2.878
10168,3.651
10270,1.624
11470,2.854
1147,0.833
4785,1.278
16104,2.702
11270,2.13
7838,1.142
12760,1.609
3020,0.579
17205,2.795
8921,2.938
17062,2.472
17662,2.89
6951,1.633
10475,2.659
17254,2.591
1755,2.108
4207,1.563
18593,2.226
12466,1.645
14078,1.903
2520,0.731
4355,5.00001
10017,2.261
20034,0.531
8442,2.3
14782,1.389
13400,1.341
6630,1.466
20047,0.531
16428,2.408
4982,1.096
1138,1.683
8899,3.3
16529,1.976
5526,3.872
19644,1.458
5203,0.974
16324,1.765
9903,2.811
6313,1.932
1449,1.449
4002,4.19
11371,2.296
13960,1.897
2911,0.847
8439,2.025
13816,0.925
3180,1.264
10880,2.024
5328,2.775
16558,0.863
18942,3.052
10359,3.156
11461,2.167
11304,1.708
11187,2.109
8429,2.268
13659,1.367
18649,3.773
14193,1.414
19818,1.091
7201,1.507
10047,1.568
7783,1.733
5751,3.74
16106,2.722
502,1.423
853,2.56
4674,5.00001
1338,1.639
4700,5.00001
4891,1.008
9416,5.00001
4661,1.156
679,2.052
10141,2.887
2270,0.588
8773,3.117
10034,1.118
1419,2.5
2475,0.392
13460,1.125
15019,1.582
15075,1.441
2423,0.571
3461,1.894
3556,5.00001
10000,2.096
7567,1.032
11134,1.862
15793,2.25
20140,2.813
19801,0.375
9874,1.624
5794,2.583
19538,1.07
20338,2.713
8981,3.25
14423,2.7
11562,1.918
7579,0.952
5176,0.985
10664,1.983
15722,4.0
1298,0.935
8992,2.704
14482,5.00001
9169,1.671
1531,3.975
3638,1.846
19910,0.925
14182,1.043
18756,0.598
17898,2.185
3112,0.832
1279,2.539
11701,2.185
9412,1.404
1637,5.00001
12948,3.5
11827,1.854
10987,2.522
18454,2.291
242,1.426
11233,1.974
9926,1.873
12787,0.71
6982,2.735
3535,3.528
15332,1.089
16252,0.527
17850,1.869
14088,2.23
10529,1.875
20137,1.625
11337,1.907
18160,3.83
8823,3.125
2847,1.017
9442,0.881
18769,0.668
15880,2.361
7181,1.469
17125,1.557
15417,1.775
14303,1.604
2207,0.721
15350,1.338
20122,1.563
7384,0.988
18143,4.514
18365,3.6
2933,0.471
166,1.714
224,1.871
8444,2.278
19619,1.625
9552,0.942
11490,5.00001
1835,2.172
18312,4.384
17414,1.364
8374,1.643
19435,1.625
8702,2.713
5498,2.763
13286,1.664
2657,1.356
4539,1.46
14548,3.705
13672,2.145
9463,1.65
6822,2.183
940,2.103
15097,1.592
17730,2.862
4223,2.306
3862,3.375
1441,1.617
11487,1.885
7358,1.465
15324,1.981
5308,5.0
15790,2.25
6813,1.875
11512,5.00001
3865,2.613
1045,1.286
14008,5.00001
424,4.153
18619,5.00001
20529,2.043
15965,2.641
14363,2.402
7010,1.632
1775,1.455
1915,1.722
4292,1.875
2934,0.494
19829,0.953
12037,1.246
6818,2.114
9140,2.94
3183,0.62
9502,1.01
5940,1.667
10546,3.449
17438,1.5
8302,4.069
11527,0.875
7313,1.896
5561,1.759
9970,2.765
19332,2.519
10214,2.186
432,2.292
14582,1.759
5405,3.31
13325,0.883
4419,1.792
3585,3.181
9896,2.181
13800,0.913
9964,3.367
2923,0.768
14590,2.125
17741,3.627
7539,1.104
15233,5.00001
7770,1.622
14270,0.885
7383,1.087
13446,0.953
2406,0.517
16600,1.449
15987,3.3
12417,0.721
17426,1.093
5946,2.75
17376,1.32
7637,2.188
2601,0.627
5686,3.671
9285,2.098
19476,1.632
2116,0.747
14477,2.778
14165,1.676
1506,2.665
11358,1.865
8452,2.645
2376,0.559
20485,2.353
16227,0.888
6619,3.091
31,1.152
2970,1.763
1168,0.561
19095,1.885
18837,0.632
377,0.943
14798,1.432
15892,1.951
20216,3.964
16670,2.533
18994,2.328
2946,0.498
13037,1.16
10325,2.314
8987,4.391
16,1.525
12715,4.483
7401,0.934
12270,0.944
14229,1.375
3021,0.375
17017,3.979
17402,1.064
17607,4.246
13545,0.655
17449,2.231
18133,4.518
13522,1.55
1250,0.615
6264,1.819
5311,5.00001
13380,1.646
19775,0.544
1517,2.521
10364,2.48
11622,2.739
11197,2.825
17174,4.113
4869,1.475
19932,1.338
7554,1.281
14238,1.063
8102,1.571
1956,1.083
6058,2.129
1397,1.971
2510,0.675
9039,1.5
11106,1.871
4838,1.516
3431,1.396
15859,2.909
6431,2.123
18470,2.881
6150,1.608
1597,2.795
5538,5.00001
2326,0.697
411,3.271
16247,0.728
6455,2.754
20000,1.125
4397,1.708
19690,0.988
1427,1.759
10150,4.0
817,1.566
8149,2.398
11776,1.019
13137,1.089
10503,2.438
10438,3.1
16434,2.3
18293,5.00001
3487,3.762
12408,0.675
7307,1.6
10146,3.021
1879,1.368
15439,2.125
8453,2.728
19005,2.5
11835,1.391
3838,1.991
8023,2.2
15890,1.938
18413,2.942
7924,1.704
5657,3.519
6323,3.335
5975,1.672
1396,2.118
5766,1.625
7018,1.66
1877,1.042
13523,1.222
9487,1.429
10521,2.743
15630,3.75
18667,3.518
5546,3.772
9714,2.023
880,2.697
15167,1.678
9712,1.897
64,0.735
14745,1.521
16698,2.683
16849,3.247
13887,0.4
4032,4.25
10376,4.841
13916,0.826
1058,0.873
3872,1.992
20160,2.25
2016,0.528
5724,5.00001
13569,0.933
14090,1.396
2440,0.697
8280,1.986
1708,1.942
14289,1.701
